Kepler ID,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination
2166206,19 30 56.704,+37 33 37.23,140.7412,8.096956,503,2.5778,,1.01,79.07,0.08,0,,0.055,5.3,8.4,1115,6013,4.16,,1.41,1.06,6.6,Pinsonneault,,,1,
2167890,19 32 22.471,+37 30 52.24,133.0405188,2.64828245,12694.3,2.64949,1.1713,0.9,80.13,0.052,0,,0.132,5.248,170.95,3343,5039,2.727,0.07,11.828,,,q1_q16_stellar,1.0001E+12,111,1,1
2302548,19 25 27.546,+37 36 33.01,135.8743,24.57078,655,2.8017,,0.68,89.38,0.158,0,,0.025,51.4,2.17,518,5218,4.58,,0.799,0.876,2.4,SPC,,,2,
2302548,19 25 27.546,+37 36 33.01,268.0236,10.381209,802,2.8096,,0.025,89.95,0.089,0,,0.025,28.9,2.21,690,5218,4.58,,0.799,0.876,2.4,SPC,,,2,
2303903,19 26 34.307,+37 37 56.67,134.4789,3.708556,422,2.25,1,0.99,75,0.045,0,,0.031,3.7,2.6,992,,,,0.773,,,,,263,1,0.007
2304320,19 26 57.993,+37 41 20.18,133.9492,16.54091,371,2.8218,,0.76,88.81,0.119,0,,0.019,30,1.51,560,5176,4.64,,0.71,0.814,0.9,Pinsonneault,,,1,
2305255,19 27 51.482,+37 36 31.61,155.9054,24.570723,725,27.39,13.7,1,62.23,0.164,0,,0.048,2.146,5,638,5977,4.462,-0.22,0.956,,,q1_q16_stellar,1.11111E+15,56,1,0.997
2305311,19 27 54.309,+37 40 07.15,131.5574,1.404663,113,3.13,0.36,0.949,39,0.022,0,,0.013,1.21,0.94,1180,,,,0.672,,,,,567,1,0.919
2305543,19 28 06.445,+37 36 02.34,131.5797438,0.681133866,29255.6,1.5,0.206045,0.1,88.57,0.014,0,,0.158,4.001,14.861,2025.6,5872,4.474,-0.58,0.864,,,q1_q16_stellar,1.10011E+14,1042,1,-1
2305866,19 28 22.398,+37 36 48.53,145.978,24.10608,92,10.0209,,0.19,89.38,0.172,0,,0.009,18.2,1.11,720,6210,4.353,,1.188,1.161,,J-K,,,1,
2306756,19 29 05.698,+37 40 17.61,166.34219,386.60243,25086,6.8093,,1.179,89.95,1.062,0,,0.384,314.6,62,285,5500,4.133,,1.47,1.068,8.8,SME,,,1,
2307199,19 29 29.941,+37 37 51.45,132.8282,13.447247,1426,3.2337,,0.976,85.37,0.115,0,,0.051,12.4,6,852,6290,4.42,,1.08,1.12,1.17,Pinsonneault,,,1,
2307206,19 29 30.278,+37 39 26.85,253.540453,204.0294952,500001,7.5,2.5182,0.1,89.98,0.652,0,,0.5,311.041,44.14,272.8,5551,4.57,-0.16,0.809,,,q1_q16_stellar,1.11111E+14,0,1,-1
2307415,19 29 41.060,+37 40 58.15,132.7749,4.612661,147,2.9534,,0.37,88.24,0.056,0,,0.011,11.2,1.45,1280,6310,4.34,,1.19,1.13,2.54,Pinsonneault,,,2,
2307415,19 29 41.060,+37 40 58.15,133.3943,13.12155,192,3.6361,,0.6,88.24,0.113,0,,0.013,22.6,1.71,901,6310,4.34,,1.19,1.13,2.54,Pinsonneault,,,2,
2309585,19 31 35.845,+37 39 21.81,352.72243,1.8385144,7536,2.4355,,1.08,63.6,0.03,0,,0.209,2.41,20,1326,5524,4.55,,0.89,1.02,,KIC,,,1,
2309719,19 31 43.403,+37 36 23.90,164.06946,54.356319,10337,6.4445,,1.25,88.24,0.288,0,,0.37,35.8,59,599,6059,4.15,,1.45,1.08,6,Pinsonneault,,,1,
2309910,19 31 53.181,+37 39 26.39,132.29668,1.843647674,153.7,4.048,0.268,0.9,56.2,0.03,0,,0.013,1.619,1.63,1629,6032,4.358,-0.04,1.114,,,q1_q16_stellar,1.11111E+12,604,1,0.994
2310993,19 32 52.844,+37 36 38.52,147.6099,55.187012,480,7.53,0.16,0.3,89.7,0.292,0,,0.02,55,2.28,519,6258,4.449,-0.16,1.031,,,q1_q16_stellar,1.11111E+12,20,1,0.022
2436378,19 20 34.021,+37 44 28.92,136.2776,8.531613,82022,3.6745,,0.85,87.66,0.082,0,,0.37,23.2,40,890,5780,4.44,,1,1,,J-K,,,1,
2437060,19 20 47.886,+37 46 37.16,132.854251,3.187074216,144605,6.93275,2.6799,0.619,81.71,0.06,0,,0.371,4.297,959.42,4038,4599,2.137,0.07,23.673,,,q1_q16_stellar,1.11111E+12,164,1,-1
2437112,19 20 48.867,+37 46 27.63,138.007,18.79924,639,4,0.2,0.8,88,0.122,0,,0.025,25,1.9,494,,,,0.668,,,,,55,1,0.091
2437149,19 20 49.380,+37 46 08.90,138.0497458,18.79816055,552928,4.5,1.51092,0.1,89.88,0.133,0,,0.5,47.763,43.431,575.6,5334,4.585,-0.02,0.796,,,q1_q16_stellar,11110110000,0,1,-1
2437209,19 20 50.383,+37 43 33.52,215.4345,281.331783,14162,70.848,7.141,0.235,89.59,0.755,0,,0.106,32.78,8.585,211,4822,4.557,-0.04,0.743,,,q1_q16_stellar,1.11111E+15,4,1,0.724
2437488,19 20 54.997,+37 45 41.08,141.81296,14.46993266,1365.3,6.911,4.97,0.98,81.06,0.134,0,,0.056,6.31,55.7,1713,4735,2.715,0,9.043,,,q1_q16_stellar,1.11111E+15,89,1,0.954
2437505,19 20 55.276,+37 46 38.93,133.952,17.55078,4421,3.7335,,0.9,87.09,0.079,0,,0.075,17.6,2.21,264,3240,4.897,,0.27,0.21,,J-K,,,1,
2437505,19 20 55.276,+37 46 38.93,149.26101,21.476429,105807,5.4162,,0.15,89.95,0.09,0,,0.289,44.8,8.51,248,3240,4.897,,0.27,0.21,,J-K,,,1,
2437653,19 20 57.847,+37 47 06.80,183.17545,84.6397864,821,2.488,0.068,0.3,89.93,0.321,0,,0.026,255,1.76,271,4386,4.629,-0.26,0.63,,,q1_q16_stellar,1.11111E+15,15,1,0.835
2437783,19 21 00.476,+37 45 47.53,131.7333,7.45348904,59861,4.0908,3.42,0.914,86.08,0.075,0,,0.326,13.371,35.57,933,5780,4.438,0,1,,,Solar,11110000000,44,1,0.013
2437897,19 21 02.827,+37 47 13.88,132.3949,1.653256,250,1.8,1,0.99,58,0.024,0,,0.026,1.9,1.8,1024,,,,0.612,,,,,589,1,0.003
2438070,19 21 06.665,+37 47 21.59,171.09694,2.4429432,967,2.9819,,0.031,89.95,0.034,0,,0.028,6.54,4.3,1588,5597,4.1,,1.41,0.92,13.2,Pinsonneault,,,1,
2438264,19 21 11.162,+37 44 58.16,170.8852,4.973455,729,1.6395,,0.83,86.52,0.052,0,,0.028,14,2.3,835,5031,4.57,,0.74,0.737,13.7,Pinsonneault,,,2,
2438264,19 21 11.162,+37 44 58.16,177.9317,15.906811,919,3.9368,,0.3,89.38,0.112,0,,0.027,30,2.2,569,5031,4.57,,0.74,0.737,13.7,Pinsonneault,,,2,
2438406,19 21 15.630,+37 44 32.82,134.3467,262.71644,2422,7.59,0.38,0.4,89.91,0.76,0,,0.045,256,4.87,271.8,5398,4.375,0.04,0.99,,,q1_q16_stellar,1111111,3,1,0.234
2438490,19 21 18.230,+37 45 41.47,131.53909,3.315773467,115214,4.0299,1.2536,0.522,86.08,0.041,0,,0.322,7.636,29.858,1104,5528,4.516,-0.14,0.849,,,q1_q16_stellar,11110000000,101,1,0.704
2438502,19 21 18.699,+37 43 36.27,172.26465,8.3606017,34767,7.4333,,0.025,89.95,0.074,0,,0.166,8.722,14.2,743,5171,4.53,,0.79,0.765,13.8,Pinsonneault,,,1,
2438513,19 21 18.882,+37 43 23.20,138.8257,8.36048,128,6.7903,,0.713,84.22,0.089,0,,0.011,6.79,2.41,1303,6286,3.98,,1.97,1.35,3.1,Pinsonneault,,,2,
2438513,19 21 18.882,+37 43 23.20,139.0601,12.184118,504,3.4242,,0.977,83.65,0.115,0,,0.028,8.7,6,1146,6286,3.98,,1.97,1.35,3.1,Pinsonneault,,,2,
2439243,19 21 53.884,+37 45 59.77,154.52,26.0206,1033,5.6619,,0.87,87.66,0.171,0,,0.035,19.7,2.4,475,5571,4.82,,0.64,0.98,,KIC,,,1,
2440757,19 23 22.485,+37 43 43.78,170.40338,1.43376875,1981,1.4618,,0.97,67.61,0.026,0,,0.065,2.57,7.8,1718,5990,4.4,,1.1,1.1,,KIC,,,1,
2441151,19 23 44.941,+37 42 14.30,171.67034,2.1920104,1503,2.2045,,0.014,89.95,0.032,0,,0.034,7.88,3,1202,5486,4.59,,0.79,0.89,0.6,Pinsonneault,,,1,
2441161,19 23 45.227,+37 42 04.22,132.2161806,2.192003636,98111,3.08148,1.59,0.785,82.46,0.03,0,,0.352,5.98,26.786,1131,5319,4.626,-0.48,0.698,,,q1_q16_stellar,1111111,272,1,0
2441495,19 24 05.244,+37 46 11.25,138.464,12.493311,737,2.2716,,0.61,88.81,0.098,0,,0.026,34.73,2.5,722,5386,4.43,,0.91,0.81,14,Pinsonneault,,,1,
2441728,19 24 17.871,+37 44 39.80,133.67615,0.8568931,108,1.3299,,0.36,85.37,0.018,0,,0.009,4.7,0.99,1943,6053,4.5,,0.95,1.05,0.3,Pinsonneault,,,1,
2442359,19 24 53.562,+37 46 53.58,131.750263,0.552834919,126.6,1.095,0.0152,0.5,81.5,0.014,0,,0.011,3.38,3.04,3108,5132,3.675,-0.08,2.648,,,q1_q16_stellar,1.11111E+15,2367,1,0.706
2442448,19 24 58.843,+37 45 32.62,153.789,76.6147,448,10.0246,,0.88,88.24,0.363,0,,0.023,28.9,2.7,468,6185,4.42,,1.07,1.08,2,Pinsonneault,,,1,
2443393,19 25 49.812,+37 44 34.57,202.851,73.6984,113,11.4897,,0.848,88.24,0.348,0,,0.011,27,1.32,465,5994,4.39,,1.075,1.035,,J-K,,,1,
2444412,19 26 44.004,+37 45 05.73,141.33981,14.910755,861,3.3104,,0.65,88.81,0.115,0,,0.028,27,2.95,703,5531,4.44,,0.955,0.908,9.1,SME,,,1,
2445129,19 27 23.738,+37 42 48.60,173.3121,10.318768,810,2.9383,,0.03,89.95,0.092,0,,0.025,28,2.8,856,5859,4.41,,1.01,0.959,6.1,Pinsonneault,,,1,
2445154,19 27 24.917,+37 44 30.91,139.6436,8.41206,776,3.8392,,0.03,89.95,0.07,0,,0.025,17.2,1.63,584,4517,4.68,,0.602,0.634,13,Pinsonneault,,,1,
2445975,19 28 07.419,+37 46 24.70,172.2585,3.3888855,10069,2.4324,,0.021,89.95,0.109,0,,0.089,12.01,67,9721,27740,3.945,,6.88,15.221,,J-K,,,1,
2446113,19 28 13.623,+37 46 34.29,152.1823,23.13571,137,3.1404,,0.55,89.38,0.174,0,,0.011,48,2.02,894,6558,4.12,,1.66,1.32,2.65,Pinsonneault,,,2,
2446113,19 28 13.623,+37 46 34.29,170.996,6.717274,290,2.4261,,0.22,89.38,0.076,0,,0.016,21,2.9,1353,6558,4.12,,1.66,1.32,2.65,Pinsonneault,,,2,
2446623,19 28 39.668,+37 47 38.57,179.041903,175.0660624,47804,4.5711,4.18,0.933,89.8,0.594,0,,0.297,263.57,26.72,313.1,6024,4.566,-0.5,0.825,,,q1_q16_stellar,1.11111E+14,7,1,0
2449074,19 30 46.392,+37 42 19.85,173.74725,4.9440222,910,3.0607,,0.029,89.95,0.054,0,,0.027,12.68,2.61,982,5504,4.475,,0.884,0.851,,J-K,,,1,
2449090,19 30 47.109,+37 42 26.05,134.192693,4.944043243,128659,4.4756,4.7,0.917,84.73,0.057,0,,0.498,9.997,54.4,1069.8,5780,4.438,0,1,,,Solar,1111111,118,1,0.972
2449101,19 30 47.651,+37 46 42.53,131.8044,0.739761,118,1.31,0.46,0.985,17.7,0.013,0,,0.014,1.034,0.763,1035,,,,0.49,,,,,1321,1,0.846
2449431,19 31 05.757,+37 47 51.69,170.2941,86.749,556,9.1821,,0.03,89.95,0.381,0,,0.021,73.7,2.2,414,5890,4.46,,0.97,0.98,4,Pinsonneault,,,1,
2452289,19 33 39.338,+37 47 58.17,133.1629,6.03549324,42.2,8.592,0.353,0.915,66.1,0.079,0,,0.007,2.26,1.941,1853,7377,3.876,-0.08,2.552,,,q1_q16_stellar,1.11111E+15,222,1,0.079
2452440,19 33 47.249,+37 43 16.36,138.424978,8.097039296,63155,5.6785,1.3849,0.505,87.65,0.072,0,,0.238,12.31,23.203,892,5753,4.423,-0.56,0.894,,,q1_q16_stellar,1111111,74,1,0
2452450,19 33 47.710,+37 43 21.51,170.81146,8.0970439,1019,4.6002,,0.027,89.95,0.087,0,,0.029,14.05,5.3,1294,6638,4.11,,1.7,1.35,2.4,Pinsonneault,,,1,
2554853,19 04 06.599,+37 53 40.09,376.086,309.395,211,15.9,0.4,0.6,89.7,1.007,0,,0.014,118,2.7,400,,,,1.736,,,,,3,1,0.229
2555080,19 04 22.727,+37 50 48.20,136.9163,15.2024511,117.3,1.548,0.062,0.85,88.83,0.146,0,,0.012,42,53.4,2956,3984,1.461,0.2,41.367,,,q1_q16_stellar,1.11111E+15,85,1,0.369
2556650,19 06 22.625,+37 53 28.53,132.0415,2.852375,1624,0.8343,,0.98,84.8,0.032,0,,0.058,10.7,3.3,708,4003,4.75,,0.515,0.538,13.4,Pinsonneault,,,1,
